long,lat,date,apn,address,city,zip,units
-118.398576,34.11158,2001-06-01T00:00:00Z,,2420 W LOMA VISTA,Los Angeles,,2
-118.2702,33.97071,2001-06-01T00:00:00Z,,247 E 76TH,Los Angeles,,2
-118.21478,34.07623,2001-06-01T00:00:00Z,,2529 N WORKMAN,Los Angeles,,3
-118.28725,34.03219,2001-06-01T00:00:00Z,,2614 S ORCHARD,Los Angeles,,2
-118.25308,34.01616,2001-06-01T00:00:00Z,,2720 S NAOMI,Los Angeles,,4
-118.21023,34.03378,2001-06-01T00:00:00Z,,2732 E GUIRADO,Los Angeles,,5
-118.28501,34.05905,2001-05-01T00:00:00Z,,2823 W LEEWARD,Los Angeles,,4
-118.28615,34.0584,2001-05-01T00:00:00Z,,2872 W LEEWARD,Los Angeles,,12
-118.20559,34.03434,2001-05-01T00:00:00Z,,2920 E CALLE PEDRO INFANTE,Los Angeles,,12
-118.28808,34.05839,2001-05-01T00:00:00Z,,2948 LEEWARD,Los Angeles,,6
-118.43187,34.02473,2001-05-01T00:00:00Z,,3101 S CORINTH,Los Angeles,,85
-118.43044,34.02446,2001-05-01T00:00:00Z,,3131 S SAWTELLE,Los Angeles,,51
-118.42928,34.02298,2001-05-01T00:00:00Z,,3201 S SAWTELLE,Los Angeles,,68
-118.47699,33.99233,2001-05-01T00:00:00Z,,32 THORNTON,Los Angeles,,3
-118.258625,34.11549,2001-05-01T00:00:00Z,,3401 W GARDEN,Los Angeles,,3
-118.19378,34.11336,2001-05-01T00:00:00Z,,357 N AVENUE 57,Los Angeles,,5
